breakfast;afternoon.tea;evening;after.lunch;after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;variety;how;sugar;format;place.of.purchase;type;sex;profession;sport;age;age_Q;frequency;exotic;spirituality;good for health;diuretic;friendliness;iron absorption;feminine;refined;slimming;stimulant;relaxant;no.effect.health;words
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;not.tearoom;friends;restaurant;pub;black;nothing.added;not.sugar;sachet;supermarket+specialist.;varies;F;management;not.sporty;35;35-44;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;iron absorption;feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,diuretic,friendliness,iron-absorption,feminine,refined
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet+loose;supermarket;varies;F;employee;sporty;25;25-34;1 to 2/week;not.exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;spirituality,healthy,diuretic,friendliness,refined,stimulant,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;after.dinner;not.anytime;home;not.work;tearoom;friends;restaurant;not.pub;black;other;not.sugar;sachet+loose;supermarket+specialist.;luxury;F;unemployed;sporty;62;60 and +;1/day;exotic;spirituality;good for health;diuretic;friendliness;iron absorption;feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,iron-absorption,feminine,refined,stimulant,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;tearoom;friends;restaurant;pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;varies;F;unemployed;not.sporty;57;45-59;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,refined
not.breakfast;Not.afternoon.t;evening;after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;pub;flavoured;lemon;sugar;sachet+loose;supermarket+specialist.;varies;F;student;sporty;20;15-24;3 to 6/week;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,refined,stimulant,relaxing
breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;pub;flavoured;lemon;not.sugar;sachet;supermarket;varies;F;student;sporty;22;15-24;1/day;exotic;spirituality;not.good for health;diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,spirituality,diuretic,friendliness,feminine,relaxing,effect-on-health
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;F;employee;sporty;36;35-44;1/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,friendliness,iron-absorption,feminine,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;M;student;not.sporty;19;15-24;1 to 2/week;not.exotic;spirituality;not.good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;spirituality,refined,relaxing
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet+loose;supermarket+specialist.;varies;M;employee;sporty;24;15-24;more than 2/day;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,refined,stimulant,relaxing
not.breakfast;Not.afternoon.t;evening;after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket;varies;M;student;sporty;22;15-24;1 to 2/week;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,feminine,relaxing
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;lemon;sugar;loose;specialist.shop;luxury;M;management;sporty;28;25-34;1/day;not.exotic;spirituality;not.good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;spirituality,diuretic,friendliness,feminine,refined,stimulant
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;black;milk;sugar;sachet;supermarket;shop.brand;M;student;sporty;18;15-24;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,relaxing
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket;known.brand;F;management;sporty;34;25-34;1/day;exotic;not.spirituality;not.good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;not.relaxant;no.effect.health;escape-exoticism,effect-on-health
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;known.brand;F;employee;sporty;51;45-59;1/day;not.exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;no.effect.health;friendliness,refined,effect-on-health
breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;milk;not.sugar;sachet+loose;supermarket;known.brand;F;employee;sporty;55;45-59;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,refined,slimming,stimulant
not.breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;not.home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;specialist.shop;varies;F;unemployed;sporty;76;60 and +;1/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;healthy,friendliness,refined,stimulant
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket;known.brand;F;student;sporty;22;15-24;1/day;not.exotic;not.spirituality;good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,relaxing
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;nothing.added;not.sugar;sachet;supermarket;luxury;F;management;sporty;50;45-59;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,feminine,refined,slimming,stimulant,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;not.home;not.work;tearoom;not.friends;restaurant;not.pub;flavoured;nothing.added;sugar;loose;supermarket;shop.brand;F;student;sporty;25;25-34;1 to 2/week;not.exotic;not.spirituality;not.good for health;diuretic;friendliness;iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;diuretic,friendliness,iron-absorption,refined,stimulant,relaxing
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket+specialist.;luxury;F;other work;sporty;44;35-44;1/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,friendliness
not.breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;F;student;not.sporty;19;15-24;3 to 6/week;not.exotic;not.spirituality;not.good for health;diuretic;friendliness;iron absorption;not.feminine;not.refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;diuretic,friendliness,iron-absorption,stimulant
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;lemon;sugar;sachet;supermarket;shop.brand;F;student;sporty;20;15-24;3 to 6/week;exotic;spirituality;not.good for health;diuretic;not.friendliness;iron absorption;feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,diuretic,iron-absorption,feminine,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;not.tearoom;friends;not.restaurant;pub;flavoured;milk;sugar;sachet;supermarket;unknown;F;student;sporty;19;15-24;3 to 6/week;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,refined,relaxing
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;not.restaurant;pub;flavoured;nothing.added;sugar;sachet+loose;supermarket+specialist.;luxury;F;student;sporty;19;15-24;more than 2/day;not.exotic;spirituality;good for health;not.diuretic;friendliness;iron absorption;feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;spirituality,healthy,friendliness,iron-absorption,feminine,refined,stimulant,relaxing
not.breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;anytime;home;work;not.tearoom;friends;restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket;shop.brand;F;student;not.sporty;17;15-24;1 to 2/week;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,refined,relaxing
breakfast;Not.afternoon.t;not.evening;after.lunch;not.after.dinner;anytime;home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;not.sugar;sachet;supermarket+specialist.;varies;M;senior management;sporty;51;45-59;1/day;exotic;spirituality;good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,stimulant
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;sugar;sachet+loose;supermarket;unknown;M;senior management;sporty;50;45-59;1 to 2/week;exotic;spirituality;not.good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,spirituality,diuretic,friendliness,refined
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;black;milk;sugar;sachet+loose;supermarket;known.brand;M;student;sporty;20;15-24;1/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,refined,stimulant,relaxing
not.breakfast;Not.afternoon.t;not.evening;after.lunch;not.after.dinner;not.anytime;not.home;work;not.tearoom;not.friends;restaurant;not.pub;flavoured;nothing.added;sugar;sachet+loose;supermarket;varies;M;senior management;sporty;25;25-34;1 to 2/week;not.exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;friendliness,refined,stimulant
breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;black;milk;not.sugar;sachet;supermarket;luxury;M;unemployed;not.sporty;78;60 and +;more than 2/day;not.exotic;spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;spirituality,healthy,friendliness,relaxing
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;not.home;not.work;tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;loose;supermarket;luxury;M;senior management;sporty;49;45-59;1 to 2/week;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,friendliness,refined
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;loose;specialist.shop;luxury;M;other work;not.sporty;42;35-44;1 to 2/week;not.exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;spirituality,healthy,diuretic,friendliness,refined,relaxing
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;restaurant;not.pub;black;milk;sugar;sachet+loose;supermarket;varies;M;other work;sporty;32;25-34;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,refined,relaxing
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket;known.brand;M;employee;sporty;20;15-24;1/day;not.exotic;not.spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;M;management;not.sporty;35;35-44;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,friendliness,refined,relaxing
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;restaurant;not.pub;black;milk;sugar;sachet+loose;supermarket+specialist.;varies;M;senior management;sporty;33;25-34;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;work;tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;loose;specialist.shop;luxury;M;senior management;not.sporty;56;45-59;1/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,refined,relaxing
not.breakfast;Not.afternoon.t;evening;after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;restaurant;pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;F;unemployed;sporty;33;25-34;more than 2/day;not.exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;spirituality,friendliness,feminine,refined,stimulant,relaxing
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;green;nothing.added;sugar;sachet+loose;supermarket;known.brand;M;unemployed;sporty;29;25-34;1/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet+loose;supermarket+specialist.;known.brand;F;management;not.sporty;43;35-44;more than 2/day;not.exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;spirituality,healthy,diuretic,friendliness,feminine,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket;known.brand;F;student;sporty;22;15-24;more than 2/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,friendliness,refined,stimulant
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;pub;flavoured;nothing.added;sugar;sachet;supermarket;cheapest;F;employee;not.sporty;20;15-24;more than 2/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;not.refined;slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,feminine,slimming,stimulant,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;M;student;not.sporty;27;25-34;more than 2/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,friendliness,feminine,refined,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;F;student;not.sporty;22;15-24;more than 2/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,friendliness,feminine,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;flavoured;nothing.added;sugar;sachet+loose;supermarket;known.brand;F;student;not.sporty;23;15-24;1/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,feminine,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket+specialist.;known.brand;F;manual labourer;sporty;46;45-59;1/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,healthy,diuretic,friendliness,feminine,refined,relaxing,effect-on-health
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;not.tearoom;friends;not.restaurant;pub;flavoured;nothing.added;not.sugar;sachet+loose;specialist.shop;varies;F;senior management;sporty;35;35-44;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;slimming;not.stimulant;not.relaxant;no.effect.health;escape-exoticism,healthy,diuretic,friendliness,slimming,effect-on-health
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;lemon;not.sugar;sachet;supermarket;known.brand;F;other work;not.sporty;28;25-34;1/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,iron-absorption,refined,stimulant,relaxing
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;varies;F;student;not.sporty;20;15-24;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,iron-absorption,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket+specialist.;luxury;M;unemployed;not.sporty;71;60 and +;1/day;exotic;not.spirituality;not.good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,diuretic,refined,relaxing,effect-on-health
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;pub;flavoured;nothing.added;sugar;sachet;supermarket;shop.brand;M;management;not.sporty;28;25-34;more than 2/day;not.exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;spirituality,friendliness,feminine,refined,stimulant
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;F;student;sporty;23;15-24;more than 2/day;not.exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;no.effect.health;friendliness,feminine,refined,relaxing,effect-on-health
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;unknown;F;employee;not.sporty;21;15-24;1/day;exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,spirituality,friendliness,feminine
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;lemon;sugar;sachet;supermarket;known.brand;M;other work;not.sporty;19;15-24;1 to 2/week;not.exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;no.effect.health;spirituality,friendliness,refined,stimulant,relaxing,effect-on-health
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;not.home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;M;employee;sporty;27;25-34;1/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,stimulant
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket;known.brand;M;student;not.sporty;25;25-34;more than 2/day;not.exotic;spirituality;good for health;diuretic;friendliness;iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;spirituality,healthy,diuretic,friendliness,iron-absorption,refined,stimulant,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket+specialist.;luxury;F;unemployed;sporty;71;60 and +;1/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,healthy,diuretic,friendliness,refined,relaxing,effect-on-health
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;known.brand;F;student;sporty;21;15-24;1/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,refined,stimulant
breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;tearoom;friends;not.restaurant;pub;flavoured;lemon;sugar;sachet+loose;supermarket+specialist.;known.brand;F;employee;not.sporty;23;15-24;more than 2/day;exotic;spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,friendliness,refined,relaxing
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;M;student;sporty;22;15-24;3 to 6/week;not.exotic;not.spirituality;not.good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;no.effect.health;refined,stimulant,relaxing,effect-on-health
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;M;unemployed;not.sporty;22;15-24;1 to 2/week;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,feminine,refined,stimulant,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;pub;flavoured;milk;sugar;sachet;supermarket;known.brand;F;student;not.sporty;23;15-24;more than 2/day;not.exotic;not.spirituality;not.good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;no.effect.health;diuretic,friendliness,feminine,refined,relaxing,effect-on-health
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;shop.brand;F;student;sporty;21;15-24;1 to 2/week;not.exotic;spirituality;not.good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;spirituality,diuretic,friendliness,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;restaurant;not.pub;black;other;not.sugar;sachet+loose;supermarket+specialist.;varies;F;senior management;not.sporty;42;35-44;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,friendliness,refined
